Vector Configuration, Time, #Data Comparisons, #Loop Comparisons, #Data Assignments, #Loop Assignments, #Other Operations, #Total Operations
Sorted N=500,0,124750,125749,1996,125750,2,378247
Sorted N=1000,2,499500,501499,3996,501500,2,1506497
Sorted N=5000,46,12497500,12507499,19996,12507500,2,37532497
Sorted N=10000,112,49995000,50014999,39996,50015000,2,150064997
Reverse N=500,0,124750,125749,126996,125750,2,503247
Reverse N=1000,1,499500,501499,503996,501500,2,2006497
Reverse N=5000,32,12497500,12507499,12519996,12507500,2,50032497
Reverse N=10000,130,49995000,50014999,50039996,50015000,2,200064997
Random N=500,0,124750,125749,6358,125750,2,382609
Random N=1000,1,499500,501499,14850,501500,2,1517351
Random N=5000,27,12497500,12507499,90604,12507500,2,37603105
Random N=10000,109,49995000,50014999,197070,50015000,2,150222071
